name;left_x;top_y;new_widht;new_height
pano_0000_000222_003.jpg;383;355;401;376
pano_0000_000223_003.jpg;406;358;428;378
pano_0000_000224_003.jpg;436;360;457;387
pano_0000_000225_003.jpg;471;358;493;385
pano_0000_000226_003.jpg;514;367;533;386
pano_0000_000227_003.jpg;563;360;585;392
pano_0000_000228_003.jpg;620;349;642;381
pano_0000_000229_003.jpg;683;338;707;373
pano_0000_000230_003.jpg;748;321;773;360
pano_0000_000231_003.jpg;795;325;820;368
pano_0000_000232_003.jpg;726;319;745;364
pano_0000_000233_003.jpg;449;300;473;357
pano_0000_000234_003.jpg;41;280;62;347
pano_0000_000235_048.jpg;68;256;97;344
pano_0000_000236_043.jpg;328;229;381;340
pano_0000_000237_038.jpg;520;219;597;339
pano_0000_000238_033.jpg;705;234;820;352
pano_0000_000239_033.jpg;239;254;359;354
pano_0000_000240_028.jpg;770;259;834;345
pano_0000_000240_033.jpg;1;258;33;337
pano_0000_000241_028.jpg;570;261;638;334
pano_0000_000242_028.jpg;423;268;484;326
pano_0000_000243_028.jpg;323;270;374;320
pano_0000_000244_028.jpg;253;271;294;315
pano_0000_000245_028.jpg;195;276;233;314
pano_0000_000246_028.jpg;151;275;185;313
pano_0001_000003_003.jpg;147;308;168;328
pano_0001_000004_003.jpg;155;308;177;330
pano_0001_000005_003.jpg;163;308;187;331
pano_0001_000006_003.jpg;172;307;199;333
pano_0001_000007_003.jpg;184;307;213;335
pano_0001_000008_003.jpg;200;305;231;336
pano_0001_000009_003.jpg;216;305;253;337
pano_0001_000010_003.jpg;238;302;280;342
pano_0001_000011_003.jpg;266;295;315;335
pano_0001_000012_003.jpg;310;292;365;337
pano_0001_000013_003.jpg;370;284;434;341
pano_0001_000014_003.jpg;456;279;524;349
pano_0001_000015_003.jpg;570;258;667;350
pano_0001_000016_003.jpg;790;219;832;342
pano_0001_000016_008.jpg;2;224;66;340
pano_0001_000017_008.jpg;392;158;499;347
pano_0001_000018_013.jpg;368;132;414;329
pano_0002_000013_038.jpg;194;93;296;395
pano_0002_000014_033.jpg;167;179;354;340
pano_0002_000015_028.jpg;621;205;770;343
pano_0002_000016_028.jpg;443;231;560;333
pano_0002_000017_028.jpg;327;250;422;321
pano_0002_000018_028.jpg;249;306;319;376
pano_0002_000019_028.jpg;189;330;243;385
pano_0002_000020_028.jpg;144;352;188;399
pano_0002_000021_028.jpg;111;347;152;388
pano_0002_000022_028.jpg;89;341;125;377
pano_0002_000023_028.jpg;78;342;109;380
pano_0002_000024_028.jpg;74;343;103;373
pano_0002_000025_028.jpg;73;336;103;365
pano_0002_000026_028.jpg;42;320;66;348
pano_0002_000027_023.jpg;800;319;817;335
pano_0003_000470_033.jpg;634;165;703;397
pano_0003_000471_033.jpg;-4;241;137;387
pano_0003_000472_028.jpg;529;226;632;335
pano_0003_000473_028.jpg;353;225;446;308
pano_0003_000474_028.jpg;264;246;329;313
pano_0003_000475_028.jpg;217;256;276;311
pano_0003_000476_028.jpg;194;254;243;300
pano_0003_000477_028.jpg;189;257;234;295
pano_0003_000479_028.jpg;220;263;256;297
pano_0003_000480_028.jpg;257;266;289;294
pano_0003_000481_028.jpg;321;272;349;297
pano_0003_000482_028.jpg;403;268;430;289
pano_0003_000483_028.jpg;522;269;544;292
pano_0003_000484_028.jpg;641;280;661;299
pano_0003_000485_028.jpg;751;285;770;305
pano_0003_000486_033.jpg;3;302;21;323
pano_0007_000007_038.jpg;51;308;74;327
pano_0007_000008_033.jpg;215;301;235;319
pano_0007_000009_028.jpg;528;284;548;302
pano_0007_000010_028.jpg;226;276;247;296
pano_0007_000011_028.jpg;89;284;107;300
pano_0007_000012_028.jpg;31;284;49;302
pano_0007_000013_028.jpg;4;298;18;318
pano_0007_000014_023.jpg;816;280;830;294
pano_0009_000006_033.jpg;613;271;632;287
pano_0009_000007_033.jpg;118;263;135;277
pano_0009_000008_028.jpg;476;265;495;283
pano_0009_000009_028.jpg;148;261;168;277
pano_0009_000010_028.jpg;3;263;19;284
pano_0009_000011_023.jpg;801;266;815;281
pano_0009_000012_023.jpg;796;271;811;283
pano_0009_000013_023.jpg;795;269;809;282
pano_0009_000014_023.jpg;786;277;802;290
pano_0009_000015_023.jpg;779;284;795;296
pano_0009_000016_023.jpg;773;293;789;305
pano_0009_000019_023.jpg;769;310;784;321
