XML_name;left_x;top_y;new_widht;new_height
XMLpano_0000_000240_028.jpg;769;263;832;348
XMLpano_0000_000240_033.jpg;1;264;33;323
XMLpano_0000_000241_028.jpg;566;261;640;331
XMLpano_0000_000242_028.jpg;422;268;484;327
XMLpano_0000_000243_028.jpg;321;270;374;319
XMLpano_0000_000244_028.jpg;251;272;295;315
XMLpano_0000_000245_028.jpg;193;276;232;314
XMLpano_0000_000246_028.jpg;151;276;185;310
XMLpano_0001_000003_003.jpg;146;308;168;328
XMLpano_0001_000004_003.jpg;152;308;176;330
XMLpano_0001_000005_003.jpg;162;309;188;332
XMLpano_0001_000006_003.jpg;172;308;199;333
XMLpano_0001_000007_003.jpg;184;308;214;335
XMLpano_0001_000008_003.jpg;197;305;231;336
XMLpano_0001_000009_003.jpg;216;305;253;339
XMLpano_0001_000010_003.jpg;239;305;278;342
XMLpano_0001_000011_003.jpg;267;295;313;337
XMLpano_0001_000012_003.jpg;309;291;363;340
XMLpano_0001_000013_003.jpg;370;282;433;340
XMLpano_0001_000014_003.jpg;451;278;526;349
XMLpano_0001_000015_003.jpg;572;258;661;349
XMLpano_0001_000016_003.jpg;786;223;832;327
XMLpano_0001_000016_008.jpg;1;229;62;342
XMLpano_0001_000017_008.jpg;391;173;502;335
XMLpano_0001_000018_013.jpg;367;128;412;319
XMLpano_0002_000013_038.jpg;198;122;294;379
XMLpano_0002_000014_033.jpg;170;154;351;358
XMLpano_0002_000015_028.jpg;629;204;766;343
XMLpano_0002_000016_028.jpg;445;231;553;332
XMLpano_0002_000017_028.jpg;330;247;416;326
XMLpano_0002_000018_028.jpg;247;310;319;374
XMLpano_0002_000019_028.jpg;186;332;244;386
XMLpano_0002_000020_028.jpg;140;353;189;398
XMLpano_0002_000021_028.jpg;108;349;150;387
XMLpano_0002_000022_028.jpg;88;345;124;380
XMLpano_0002_000023_028.jpg;79;346;110;376
XMLpano_0002_000024_028.jpg;74;345;103;372
XMLpano_0002_000025_028.jpg;72;340;100;368
XMLpano_0002_000026_028.jpg;44;323;66;347
XMLpano_0002_000027_023.jpg;797;319;817;341
XMLpano_0003_000470_033.jpg;629;179;709;387
XMLpano_0003_000471_033.jpg;7;234;127;389
XMLpano_0003_000472_028.jpg;530;223;633;333
XMLpano_0003_000473_028.jpg;355;225;442;311
XMLpano_0003_000474_028.jpg;259;245;330;313
XMLpano_0003_000475_028.jpg;216;256;276;312
XMLpano_0003_000476_028.jpg;192;252;244;302
XMLpano_0003_000477_028.jpg;190;256;234;298
XMLpano_0003_000479_028.jpg;220;265;256;298
XMLpano_0003_000480_028.jpg;257;265;289;294
XMLpano_0003_000481_028.jpg;322;271;351;298
XMLpano_0003_000482_028.jpg;403;267;430;291
XMLpano_0003_000483_028.jpg;520;270;545;292
XMLpano_0003_000484_028.jpg;641;279;663;300
XMLpano_0003_000485_028.jpg;751;285;770;303
XMLpano_0003_000486_033.jpg;1;300;21;320
XMLpano_0007_000007_038.jpg;52;308;73;328
XMLpano_0007_000008_033.jpg;215;300;236;320
XMLpano_0007_000009_028.jpg;530;283;549;302
XMLpano_0007_000010_028.jpg;228;277;247;294
XMLpano_0007_000011_028.jpg;89;283;106;299
XMLpano_0007_000012_028.jpg;32;283;49;298
XMLpano_0007_000013_028.jpg;6;298;20;314
XMLpano_0007_000014_023.jpg;816;280;832;293
XMLpano_0009_000006_033.jpg;614;271;633;288
XMLpano_0009_000007_033.jpg;117;263;135;273
XMLpano_0009_000008_028.jpg;477;263;494;280
XMLpano_0009_000009_028.jpg;151;264;166;278
XMLpano_0009_000010_028.jpg;2;265;19;280
XMLpano_0009_000011_023.jpg;802;265;817;280
XMLpano_0009_000012_023.jpg;796;270;810;283
XMLpano_0009_000013_023.jpg;796;270;809;282
XMLpano_0009_000014_023.jpg;788;278;800;290
XMLpano_0009_000015_023.jpg;780;284;792;296
XMLpano_0009_000016_023.jpg;775;293;786;304
XMLpano_0009_000019_023.jpg;770;310;781;321
